0,1,2,3,4,5,6,7,8
15662.546915616358,16174.72642524454,17740.70597043192,24512.95643564006,32475.268669356163,28226.247168444235,18531.791151306665,16338.791884771908,33396.73963215994
16115.912486073012,15975.619080056664,18445.12195121951,24112.899112027753,31353.21548745464,27515.791322897705,18293.619149923652,15786.393926975481,32886.53424397613
16517.90679568457,15717.61316872428,18562.95232593993,23580.082981073603,30718.132689977567,26684.218479440235,18018.57020145048,15547.815869090322,31590.029474984047
16580.653190001947,15443.444590005924,18512.752926086232,23134.31411572772,30422.18326181834,25432.53883323922,17804.005151807316,15042.436865838465,30792.77112384754
16504.809704166,15223.376222001294,18529.395009479536,22838.042845916316,30048.340970982994,25431.9082701921,18253.28405764777,15217.981771833809,30807.49105877297
16389.075944631502,15143.650665663254,18271.46778198852,22522.322466446552,29666.904296867593,25071.49872066935,19924.651367649913,16962.100465473348,30251.823898769733
16096.976536059981,15017.07695719672,17880.466383491876,22446.255113761974,29750.32538740265,24948.15152905346,20679.65917952317,18401.410481921415,30168.54045560587
15869.005320954795,14995.352918053188,17749.6616753057,22299.127416429692,29487.31794239876,25090.711702654364,20662.992106151964,18489.76189093708,29884.458205387295
15723.018717642373,15017.86874593893,17614.610751624357,22381.437110119277,29536.009726506374,24698.682779811486,20382.598825266374,17979.21877810869,30017.467105329484
15671.878966193592,14979.093503278102,17542.877132028356,22307.775273973926,29708.232319595467,24429.034187631303,19634.132585418436,17431.222121862855,32639.47294902272
15598.433898519146,14985.100042571297,17533.43661796429,22185.192047708257,31501.693097140138,24081.635458501245,19040.690627743803,16869.402060335116,34224.46611357363
15608.200608236797,15025.677594234847,17505.97581133235,22686.20094324917,32952.47958381984,25021.35077540542,18505.649635342717,16100.286151017412,34294.211737643345
15576.42850550652,15577.234091060724,17489.924698550174,23922.00587048897,33043.37205243006,27046.451872547732,18219.71047480157,15694.326281221298,33704.54150645255
15651.082448848958,16139.188417108451,17460.69180286819,24463.27612305637,32538.34862492173,27945.731624850174,18007.662938956804,15652.852781375968,32955.692983751
15621.564166167707,16166.357803508974,17443.748878615163,24464.093555790972,31964.43357708688,27697.45291523585,17679.06410446453,15407.981699188633,31726.64523709152
15553.812892439566,16147.94695212261,18148.85829546361,24101.516282297263,31185.679401865054,27489.271906567992,17617.183517494443,15161.78612589974,30869.789328052204
16209.49848981898,15966.568478891008,18573.03154232624,23666.907823872036,30363.11090734121,26680.123809413533,17479.45747825568,15193.701215968318,30192.557693390583
16594.568996195012,15668.917807936476,18670.1942753768,23154.242217942636,29748.272141132904,25628.9899454595,17459.985288890894,16074.332889667814,29704.273318943677
16705.396484868226,15495.495203503298,18570.885565118173,22759.86511843682,29530.77438239263,25238.578492980872,18910.60036215756,18296.633746610853,29443.33730081487
16609.793186360075,15292.846356275462,18364.65714083364,22532.96807770839,29551.995790324087,24735.416255739387,20397.808788361403,19321.799306352594,29073.336235825034
16455.053745833888,15155.140196071236,18161.07672900985,22280.482780353403,29232.13901550464,24398.746976277896,20584.500616292455,18989.80105150873,28926.181920698447
16264.502306967423,15061.755518872942,17807.95598094142,22192.934106779627,29152.001383783274,24332.484859607925,20306.441789172124,18469.56447813505,29724.910632998362
15953.25194437217,15014.224107754415,17689.252966269996,22133.513945676663,29208.757512248623,23783.654764297527,19656.101502620913,17796.808835153948,32318.07546652003
15909.310869073232,15101.895427551271,17505.252060673127,22049.141929913792,29140.742787432177,23745.684925989408,18708.81352008346,17059.51462019951,33307.33017031131
15734.126027690738,15082.631001651043,17547.448750762967,21946.566780578156,30545.06552393818,23568.43605015562,18396.837870814907,16373.468368878439,32756.296864182397
15680.312608378143,15215.934208656174,17560.45443285221,21996.921342336173,32283.386647631065,23873.785616114183,18040.020377959227,16353.903016657456,32317.994342122918
15620.102446041305,15161.509840536148,17511.691053762253,22722.81330188278,32634.119155842956,26505.391322164753,17870.81415860142,16271.871539205331,31106.029247465034
15654.70912659636,15697.27896539491,17583.54072863591,23931.22068690814,32487.370968191917,28403.61176314598,17552.531202868242,16171.937121925675,30391.03919686802
15741.352946980805,16178.53056308341,17510.40480247047,24284.644609457133,32107.344155326733,28430.219766103648,17506.079508060342,15901.220995038188,29339.56829798768
15702.139407388502,16335.541476178856,17788.6819913269,24021.8914375979,31323.523276495842,27874.825731198995,17159.526686693443,15763.688315677051,28814.626870176508
15571.044879538638,16206.002456301994,18468.711368176737,23684.681256385575,30654.74463360744,27232.097435555042,16984.035424650385,17342.313234354584,28892.671535756977
16018.55206655934,16032.830313940287,18688.967092302442,23257.773334716265,29875.200429069162,26475.86047850462,17600.72209587672,18818.6186598716,28228.886196180436
16522.50176554777,15776.905744684998,18633.968752938614,22814.291473912843,29410.70874984726,26005.2532300786,19191.9890333043,19305.075458898515,27728.166229744395
16658.892557021143,15506.634850760553,18549.908463494765,22516.83391749477,29359.179502360705,25529.93879373426,20055.042649072184,18687.025916273677,27683.363886002255
16607.07617306247,15409.862940116736,18265.605319626062,22188.092906160815,29126.291503343295,25171.081295392873,19761.63892745213,17868.54496664403,28807.690174690924
