0,1,2,3,4,5,6,7,8
16052.013264726014,16554.484591645585,18247.87400233197,25514.487616577335,34513.85803175256,32312.02055116886,22403.19525555055,19761.82338537687,38962.14695242205
16509.043675596582,16349.194023560158,18915.694897135658,25122.927839894528,33405.10131722645,31435.355399808053,22146.42613253043,19224.552074980442,38266.03956744592
16885.892148721687,16094.436981492081,19052.593571831152,24651.669644270412,32774.376321200776,30617.95486226479,21772.37618837296,18840.579102332063,36944.9017225697
16947.29154540546,15856.208909242458,18960.91916719855,24211.32630774928,32500.7359274216,29387.947891691838,21586.555013458044,18260.24580071129,35986.65490084185
16877.5952120619,15639.286989068698,18969.218989789555,23930.26725432404,32174.683161043125,29302.186616641917,22001.84420172454,18511.201629938234,36015.57830265016
16730.84439086306,15547.266190766852,18757.72556889373,23572.290128862274,31812.813386546022,28905.375209162332,23901.305714092934,20517.92717339769,35528.18766577962
16467.848224762714,15450.45274351214,18390.08453964171,23538.87970678898,31820.293336774943,28837.916246414236,24852.374643507523,22123.01898404847,35490.56501218059
16272.066418937147,15412.389005731186,18254.349704432505,23418.511480941575,31669.645482596057,28904.742381806896,24744.268455735717,22235.591021562817,34894.40115703368
16123.061511952386,15425.704443998555,18098.706576803896,23504.38968408263,31685.938996128712,28585.479494707863,24471.86419770337,21613.58139142789,35212.47448814792
16074.403119271843,15402.238386010931,18023.795670260934,23411.247485218035,31840.02642230226,28189.945658997574,23691.95729624521,20985.7294011437,37952.270406488446
16011.527465678964,15400.117287101228,18031.27945739116,23283.72693781048,33561.75214914971,27892.36626026193,22982.006047249783,20468.498289203966,39771.58977685559
16012.500156146847,15441.949271394376,18034.60648595802,23749.058501382162,34874.710116412694,28817.093487571736,22338.853578645027,19630.26738934322,39818.78469512801
15986.639077559981,15975.71343464637,18002.23972297348,25007.03334532728,35034.922703204225,30972.15713104539,22032.959593248197,19048.909179579387,39200.55181678245
16038.12442584357,16516.117911973193,17950.83075465141,25489.72013572503,34540.04224910752,32003.30885455996,21813.15620702351,19016.063982167692,38299.066505710376
16021.81308092239,16544.431333261236,17951.460918316632,25490.91410270256,34048.622309491526,31720.94545096687,21355.316465198444,18673.760289948663,37090.1896645684
15948.044402845322,16498.178169052986,18624.480683403697,25143.979818697713,33228.14713827382,31462.5233483021,21362.001836684165,18406.895108352215,36090.89975559686
16582.34840331503,16355.853246104603,19057.219333956964,24699.356424737063,32413.104404450085,30697.187078317387,21106.87161122239,18510.745038591263,35379.24136464558
16950.581956097867,16050.782315207818,19117.257426826905,24251.437772753547,31919.971089027047,29551.847879492972,21117.8879500072,19427.46105098808,34810.69673744605
17079.617125872275,15889.98055042692,19042.472005909487,23844.026720419806,31723.72229462584,29088.89428677636,22734.275271457613,22045.728503693204,34537.423584007855
16965.53600344713,15692.491999617745,18830.227051438713,23633.379490216437,31699.07246015604,28495.297264654637,24461.347681532705,23238.522087156107,34185.7515271826
16838.424235092476,15555.774468963178,18628.27698010735,23386.026643878657,31406.78408338875,28267.183843005092,24674.339568102365,22742.826617946183,33937.81442621284
16626.695958267177,15476.221912505573,18319.657478309102,23273.453530838404,31305.754312818863,28130.54139088977,24377.022213250766,22261.56099594772,34742.16943705053
16340.683532651905,15424.264120038379,18203.7124581714,23234.039013199483,31337.59191233375,27596.172499999022,23717.014768896366,21447.315466209635,37708.156666630835
16295.14261970186,15538.452099188482,18015.271737926687,23150.34520777458,31246.846335305618,27535.93149961333,22626.438048932916,20565.59348177658,38784.29537140819
16130.648474869664,15504.950219304204,18029.478004017965,23062.264272378674,32605.607775329372,27359.42128300692,22313.4421544502,19823.501316189373,38330.76485390597
16072.034426843267,15611.17480215428,18070.54069956147,23088.834883742096,34326.57856017741,27751.091124681774,21848.228060130357,19767.983053758093,37640.84960544968
16037.241026073181,15573.536085600197,18030.144389233774,23787.26154476925,34673.996082064805,30494.969154414157,21582.718935493605,19628.511945079226,36483.589147792554
16072.37209230536,16087.08106112102,18085.263925822648,24995.381221314226,34503.26920618283,32452.17533630936,21228.80251369817,19587.304687294993,35584.838458754304
16120.031559340156,16565.472527970007,18017.656837406168,25275.918274724274,34107.405080037395,32501.007040958906,21213.098178569522,19210.519728888055,34419.20093404222
16089.90714971466,16706.704765572234,18268.45053774587,25066.024884954924,33418.18811993612,32002.384003616487,20667.29781950531,19157.393059775324,33974.20440332029
15977.520681142774,16591.444458777092,18943.271457928942,24778.854636070188,32783.479565531896,31323.174165527187,20510.28688858391,20985.16972783637,33967.15907284049
16405.003495065637,16395.03195789476,19177.92877473886,24347.60052098975,31965.96729071881,30512.646074404376,21356.49533818219,22640.445713854104,33128.98409248338
16914.921415980047,16160.455117651547,19101.63109249161,23906.748645920914,31530.97450561736,30031.59343530178,23155.11972581857,23243.038395533076,32708.391530805176
17021.59988446983,15901.756450355864,19014.820367687087,23578.40985981855,31463.60136270172,29429.2165409494,24130.20682741038,22507.17893361153,32638.686232508622
16985.895056359466,15803.3132875003,18753.84649855025,23276.780872570853,31211.28566986465,29087.505714860905,23778.903382031403,21567.5259388201,33972.39188190119
16907.361253188235,15626.828299805578,18456.02142425999,23205.877966078027,30981.38445778286,28583.531361639325,23427.90653694236,20912.466847417578,36057.956764802984
16646.590150026786,15570.442192834562,18309.51072276681,23159.01868892321,30831.53814197316,28636.87018591302,22595.97877118206,20023.05258993998,36850.59800399548
16420.50772344331,15511.727186080103,18182.481224937947,23071.598405019577,31100.250052546242,28553.040367700436,21805.06407117784,19485.66606941602,36499.004594905244
16296.637857214839,15497.154315730904,18152.43302707021,23192.960358251778,33110.40342996738,28410.91559064331,20935.15289468147,19109.97797899455,36017.764756531644
16180.064977362366,15500.781476204404,18052.26627029132,23208.38859628768,34623.9199890944,28558.18820414913,20463.87192926296,18873.39159632021,35324.87202396745
16114.068250671819,15505.884580269942,18086.000599454183,23758.709081783476,34671.94595159903,30786.560949643303,20333.94608698041,18496.089801739545,34372.156234175345
16050.965826588017,15491.401922412719,18049.410397083295,24825.199529905447,34319.61374368509,32990.157968594416,20043.366241113974,18419.351527384675,34017.620672022626
16123.9024115102,15861.36114311436,18051.681357130277,25538.85272641574,33795.32634125766,33629.455269328384,19914.327253321153,18507.037873696452,33736.03214887484
16067.93544271327,16505.69212309578,18014.096536358997,25500.74054136426,32895.246803838374,33345.58559104725,19664.799218082866,20540.341280969944,31732.995472210085
16093.888571586922,16747.788714821036,18633.155659805125,25274.911118851138,31990.954147724162,32791.35745527312,19497.010835516136,21663.543057142295,30938.539808469952
16058.294878092021,16730.5947151853,19133.772540414706,24786.389061169048,31575.112366096117,31968.468044588,20796.487291180063,21717.730390421322,30539.805218907557
16341.34609168268,16566.77882009769,19081.956929464533,24399.403708181577,31180.2814326242,31138.861002010468,22231.525027531494,21348.664546573804,31439.69168833221
