,0,1,2,3,4,5,6,7,8,9,10
0,433.0106776108002,1093.5965088642454,1140.5528581105027,1170.7282237896043,1172.258644066484,1174.8131676243254,1241.4390321432375,1251.2044642401809,1204.270854240172,1238.5623845153905,1246.2854309289687
1,458.8074580996939,1050.1340689499511,1148.6055071865692,1156.3862408473203,1165.175006871004,1216.2785480978662,1228.4235469298767,1259.0142770036416,1198.6122209275607,1244.1030641607745,1245.8782959620746
2,444.9915721335867,1065.8112880858457,1150.11194493966,1173.3795178458008,1163.109749246165,1200.2654514519295,1235.9420545061212,1270.87516505238,1228.3674739819248,1229.2425694911612,1236.0190828249436
3,451.36014140289876,1061.1534957024164,1151.3676254830327,1147.1680147909235,1174.9987730374448,1184.673374219152,1231.7671518592922,1251.7963129617585,1216.2247743566454,1222.4066243661878,1212.7933172468572
4,430.49375174284165,1064.6380136910193,1141.0069611023207,1174.8815569557835,1183.7502573742338,1205.931826976505,1244.9961708518913,1240.859116470713,1225.8522628229773,1223.7764682051907,1244.971768103405
5,426.1246487356037,1060.2010890679135,1145.991386008213,1159.903396526928,1170.7301931770419,1212.686679963228,1226.131706688917,1258.587165419858,1223.5376224504305,1234.5485943490532,1219.8469353522464
6,427.071472435702,1069.2087820370712,1151.6217287485624,1158.8685275127254,1183.543540736879,1214.1243137244053,1236.570552374487,1261.5860346811012,1238.5203564472004,1227.5542945804848,1236.8612656059465
7,425.6115042792923,1073.31193157888,1152.7334877379333,1167.3013189842238,1180.456503044741,1220.4900352629052,1224.513420988049,1265.3203124335346,1226.9235357916505,1211.9390100033595,1224.632424595454
8,408.8047679278141,1052.9496366785079,1163.5095964465236,1164.0772374032738,1186.0983748515475,1207.8404043881208,1216.5306318124765,1260.1199783567924,1237.1216654054997,1228.6228023862895,1252.6411301047215
9,417.3672326665089,1081.0133419307654,1150.7117753994212,1175.9963637737628,1159.4449919320764,1163.7380710832315,1244.352753861897,1270.5921122418215,1237.9304694562998,1229.4277318675615,1231.2131097776153
10,455.18875418368117,1056.177749630102,1155.3977378315988,1174.7992966038396,1188.3988136031214,1190.5614350246196,1233.4575502465682,1264.3310299613795,1242.3923567645827,1238.928699533863,1243.8279876057175
11,428.64511621158084,1086.0587843624785,1151.6322414371537,1155.2766172922768,1183.9174734216554,1214.5369591508565,1234.5513965451698,1248.505462093675,1243.0150985442176,1228.7924960022483,1250.0264958708408
12,425.0424947521985,1068.9860288416407,1153.4656693982733,1158.5844043982822,1185.4313809302198,1206.1109441761573,1243.789095751417,1257.981431601958,1245.096722917327,1213.2579254442041,1233.2898358146497
13,421.35969625765347,1076.8097002044265,1162.7842004742017,1156.7663334111428,1202.1597942477547,1199.664311473689,1245.2236463590739,1235.841791917937,1231.3065275586528,1212.890814802712,1241.5219689453304
14,427.31602247530907,1096.747841348419,1151.3743078914326,1169.343339265935,1197.0133067273055,1206.1071310482707,1235.0538313109682,1239.0122744448659,1221.460456495267,1189.421060216931,1245.1169726603018
15,432.32530655236394,1075.3577477168876,1171.6953555974821,1154.2209852792064,1187.2814603493712,1202.8365275908018,1236.1983980644586,1249.7578242639324,1229.7208638941986,1236.1627516735375,1230.9607483641685
16,447.4125420113175,1104.6734954338315,1137.057021843747,1180.6434395016124,1187.326709662023,1211.00481645015,1239.984532805449,1265.2907600848844,1238.8612353842705,1211.3724601587392,1239.71142914239
17,417.82775752814905,1068.223476054124,1165.6902782954162,1146.5299808953548,1191.4677752466835,1209.1948804623287,1218.3209226268407,1264.898930831024,1236.3649018692442,1237.670833076842,1205.3898732644927
18,414.42426068290104,1087.7324872626277,1172.390897843561,1149.1327842318503,1177.5971891725642,1211.3900115180375,1244.0025314999239,1225.8478599241432,1217.2449917941753,1229.7327371138997,1237.686536571094
19,448.5641693319874,1055.8838994050232,1155.6095117911473,1167.0453146055315,1172.1341308330104,1197.3817898643417,1252.0397390133921,1250.0533903299117,1219.0219262700944,1233.3789525176908,1238.8049388860916
20,427.1472428713235,1095.6605725637817,1155.8012002932112,1180.1708503752432,1182.8971981446982,1200.8567750493835,1236.2836824877288,1227.9004601260006,1231.4527724335128,1239.1736174397731,1236.3485841499944
21,417.22113525160205,1090.0553724912425,1136.2741309848498,1143.0080876725488,1185.758658663404,1209.707202455147,1230.844379958461,1263.4767693001625,1223.2381747044237,1241.0376559138915,1254.6947995530097
