0,1,2,3,4,5,6,7
1797.688910136645,1202.5911485125596,1215.3059879768118,1081.5442450826813,1566.5750506651743,992.9633777130914,651.1071042962162,515.0481554483779
1774.6852792784302,1273.6207611864315,1300.712091394184,1080.3959037371724,1562.7324111259854,983.5783358522222,650.6626135339956,503.3047562066039
1739.0194827746714,1310.1871937597612,1279.0402444426832,1155.0124404598023,1561.7053072884337,996.4977584660487,650.2905212277547,456.27800933325716
1666.4880183842915,1268.4792108952458,1284.6584215450966,1088.664548803267,1561.5444470029574,984.7832820835977,693.4023021242102,453.78445699735556
1629.587462378496,1242.6072373969182,1401.4842794336143,1167.8461974373977,1579.1973009998726,973.5064760076125,696.5194193819804,427.2882308581657
1637.2183153344495,1201.7094854147629,1532.1679993193316,1225.756724071361,1596.6039728807928,1011.7196303808881,641.1625405889065,441.68923892517614
1708.4305590771182,1194.9776291874093,1501.6051337709848,1214.7254516759494,1592.8126833623896,1014.8524229967974,656.6804214643196,451.02773630892256
1839.6622277708416,1230.9237004585125,1378.3206040032699,1125.1820822322316,1574.253754288231,1013.1229111951612,639.5022335514197,436.28242745027774
1822.972094308267,1251.3667836616542,1303.731250066393,1100.7176174099727,1606.47280201086,998.2657121923089,639.5871557941578,535.2660852112847
1687.0962323203607,1255.1249030882013,1276.9903366747428,1097.792025511345,1611.439475836008,1006.4107978850892,639.6379149296658,439.0184360148357
1543.9136867897714,1241.2144988358668,1229.8197373564767,1094.6360973466617,1595.4618011355597,987.005472600685,697.2441525484337,495.7864743890291
1476.5316981150172,1263.6929321363805,1265.9574429555155,1112.9872761583943,1542.176241293566,977.256747663821,733.665695250521,535.8215219204609
1747.9213998592163,1289.5704567163325,1241.6614968849503,1121.9098738343537,1522.339493224351,992.1671958052334,685.3994888707189,536.754307921297
1501.1570287985057,1279.9837269521909,1275.1252644398292,1120.222130769001,1512.009191175365,991.6919023943817,677.4367996476024,469.2990123445355
1629.0372524469215,1296.689970520283,1298.8696560413848,1083.2785613985475,1537.5982862984308,984.7869013530348,705.083652474281,459.11837678393147
1673.044102577155,1304.2597637328176,1285.8545095132467,1099.4088267783427,1569.7075517177886,1032.1374809311262,719.0418036206792,377.7516428245053
1631.964286558221,1304.5398131817892,1272.6757183835543,1115.3189102570777,1590.6909409197126,958.4145441192119,631.3922019930966,365.94635777185636
1639.642505491176,1278.4622042566243,1260.5719002570884,1138.0277240734424,1605.827636006993,978.2045362957572,628.1356224433011,413.3269532029806
1669.666460317656,1221.8016226362597,1263.5231413498668,1184.7729623379273,1591.6206483729172,1023.4276574586252,715.0184669237951,384.95595639046803
1660.015116139377,1224.3248618749276,1264.1355167589172,1154.3701897733122,1586.5753752395904,1005.7041975699744,611.595391558527,371.0616209003786
1599.4096735612072,1218.209779906875,1299.3363289511076,1141.617558954002,1557.6536338700816,995.3930049665126,605.3983404875244,359.12936863444884
1565.186293336748,1157.2357024101111,1398.7825882671655,1154.4262940757467,1584.8816592295816,978.8124318532475,636.8961200848748,389.8806252911098
1616.3583171297475,1132.9457343760087,1394.192996773677,1116.1180231241678,1569.0036220658176,976.040230916383,619.8232963694998,387.47129106841066
1681.316692647697,1361.3247507499236,1344.401932529799,1121.638867915943,1538.5289457896436,989.2629071991632,590.6276462788439,545.4652982515927
1687.7611169990196,1152.9751868715034,1367.841825285473,1150.6682596409282,1537.2873830885142,1002.6109660574409,610.4725044380511,352.0126682227681
1687.1229099336479,1189.9207547264675,1385.778016065222,1132.201491057368,1563.8908461982858,985.9495265433163,575.9434087460415,390.73704442965925
1651.1248588969547,1448.607085872563,1262.7931831585151,1237.29515184726,1610.9801933444862,972.5384897123265,651.4602562880962,381.83608643910907
1628.8597130282274,1423.104219087414,1216.4856922368017,1416.5367093167688,1590.0750087124493,967.5700137812298,675.4739474068449,331.96479636979905
1608.667916479714,1331.8361142263566,1197.766213654153,1460.573215312197,1562.2604182543973,966.4905614653144,666.0736119964326,387.9491419344548
1593.573388434786,1306.3696232472155,1156.9803560588261,1276.2711785757479,1529.873385044075,966.7552020113791,636.8043576633675,383.0313477341699
1533.3205980514608,1329.6421649470462,1257.2355047287795,1219.3848029438714,1570.1906896686928,971.1731713676031,654.0587988370896,349.0624451632391
1552.6844674131494,1344.8824168354186,1255.715126254215,1188.26379343228,1579.1003626895558,992.5228528683926,661.8689225969213,376.3467750984535
1690.994157767916,1183.7607793208122,1315.4295360897804,1203.5710862199403,1575.8404695649356,1026.266113498418,614.7878827568852,394.1469875131447
1816.559376863086,1194.3735840282502,1393.840985150232,1212.9018398644826,1568.3046482782113,1045.458605500969,650.5886098418158,352.987839912607
1816.066700735088,1215.783751804699,1322.7771844661745,1261.3719860721012,1544.8752808043143,1035.9254454361694,645.7366170403848,559.9281869869726
1543.333368368276,1221.0652257604554,1274.007588149523,1330.9634339999188,1570.1962564172952,979.2370093576731,642.7711984588689,464.78589813503663
1511.8190104753457,1202.4036525408778,1262.5733424355078,1469.7335278752976,1571.4690466458924,990.1501792028869,624.5093583573906,513.9884589918083
1506.3842603866267,1218.4625845105195,1218.3381127401478,1497.6429072915414,1578.5972068954964,981.9135452259725,584.1517848429824,485.97303975242664
1540.7760141093477,1208.540611398678,1201.2504669583964,1416.695758809873,1565.3640478576203,971.2620027434841,612.997541066079,452.4258427807314
1617.056341649491,1229.893972213457,1320.0733665809887,1326.7231693912704,1585.660677877954,962.2355903820594,630.0070403473081,455.1578130530258
1679.524909757758,1174.5364611772368,1391.4373709354963,1267.4662639812568,1601.3476876303048,979.3508836719204,622.8031333084709,367.4139262781273
1682.3926949732622,1166.0618614858372,1388.9341014143533,1308.1511475004704,1612.2106040291612,995.6552602232931,653.8408798214481,389.6082759860465
1589.8660449279232,1210.1847249771795,1364.1433053259893,1419.6479398855508,1586.0462409911102,977.4194059665481,655.5631512537068,392.88294926361925
1564.9343526988391,1185.3701916337868,1211.8688737841933,1451.2740545584984,1590.3296393063015,969.6948559760683,630.3827808084608,387.6752754640544
1600.1906709427785,1165.6197658042902,1172.9733212404165,1480.5464480586677,1622.4693631167572,984.4962501095788,634.337244363185,430.5817052810714
1566.94894451523,1194.4710566934245,1200.5724039405836,1593.5135823684598,1592.345190395629,989.1778498229852,700.3333681074103,358.1869705468967
1465.2353167230212,1156.2981331375968,1197.4426892767642,1656.88413280028,1551.3897929690963,984.8367294708,700.9108016807783,432.6280165305019
1459.5121682586275,1159.7107117254282,1198.3905911482511,1598.9779052525382,1592.1560225111584,983.858939307657,650.6835777412807,401.56211568592363
1591.2422864733549,1168.4596917024382,1236.5703804145128,1501.5840850009363,1626.571479401593,1010.909363325892,633.9226096099111,432.2435931325548
1621.9244245337272,1167.6789765918056,1304.288111956812,1408.3793743247438,1558.7978550941514,1036.867506747938,635.3499858079117,408.36327180503577
1486.1565347887185,1176.6327062369182,1384.434822760109,1451.3992851302141,1550.1624267252455,1006.272113941389,612.8709649227892,423.26720258199896
1390.6879080943186,1192.2662512664447,1424.7602708173595,1501.4960482216497,1559.0006654220488,1007.4072780684669,589.8899344811085,371.8700106527238
1360.1197421675333,1200.8417817844102,1322.162441730813,1564.7691215667305,1589.7285744068204,1000.2171942014777,591.4671703403966,434.36942638350155
1400.7378008236765,1184.7138795985052,1332.3183556593963,1645.6460532524218,1605.5963724629592,978.6963250908831,614.1136890428199,429.03831821687584
1475.5059472036223,1181.442516211528,1275.5493639155297,1222.4218559328096,1584.2892654418977,957.7205167504642,618.5023788315098,352.84403380713144
1507.1572644989456,1172.517760921916,1224.1124875031987,1228.333174094478,1574.9114066890647,966.6647910291091,619.674327263541,441.19744108989005
1465.411772640804,1183.103848732565,1213.6175195535923,1141.3476859939135,1566.3835179090147,968.1546377416216,621.6141774835176,446.33376940770603
1449.3090662418329,1173.057902697553,1199.9300215731157,1600.5397543506356,1566.5091223616728,984.4709086471141,673.2875392827457,373.58599941277714
1474.4822346551307,1164.9856755393116,1214.4580594598585,1617.8663917680597,1589.3875410629,968.5104647541609,755.1061317927854,415.7584107739384
1476.7283428625783,1171.351256154997,1235.938545494725,1561.3310042291077,1547.8539987406416,981.4785160659942,621.8523778253297,440.1470995069137
1431.7623675042746,1198.2017041249735,1233.694435186639,1534.0065163318448,1567.781331912599,984.7662231311457,664.5664089028995,414.6824364661945
1368.6272821911377,1175.5213437365192,1208.1222872861738,1476.2351798572017,1591.8056261816696,1000.5305861688385,638.4101836611396,402.43348406716495
1418.6081425122516,1182.3475690037167,1323.0224657606504,1475.5136965333222,1574.3715164756015,984.8296361291086,606.8944111612966,402.18337416708835
1530.6567296335807,1171.731281293521,1332.674239885151,1444.568513760751,1626.8164505412428,1007.4452262421422,632.3844395404728,477.02690855658955
1468.7567338272506,1173.2171341653786,1440.45813442555,1664.5016140628732,1613.6080128853005,993.8100637207342,650.4729182992301,438.4389379523311
1310.2139811850163,1193.4639359823482,1411.5861696607135,1642.583970820955,1595.0109001037772,971.0160915775659,752.3417158379933,416.5045756143097
1327.6024765467405,1185.3542920755585,1334.420502250051,1646.957970918215,1575.6145592737644,956.3581320606382,740.2662391870147,453.7600206032088
1304.2196361013303,1177.2651919246575,1290.1467919860247,1626.829001945819,1506.349968134234,959.6268957162114,679.9346325793358,425.32541192613337
1392.33812532914,1207.8170102677168,1342.2126935714064,1637.2812437133873,1566.7745169190528,976.7388975661722,633.6119318071618,437.57479455205464
1415.6045384115557,1224.0324662192143,1396.1581208101677,1679.611726529828,1596.71081602189,968.9256055374797,723.3452744381152,467.2729276749187
1360.5193255961153,1263.3284916455284,1308.274288957191,1668.883196879183,1595.833374223172,984.1091896431753,611.3002051181624,457.7119061502014
1354.1284954924204,1196.4200620126144,1293.6562012919744,1724.4830731349957,1575.737591939068,1011.8808994187559,610.9152601170061,452.8861209830694
1456.6043331131539,1275.769831507132,1353.8742793009544,1757.5942264426467,1582.124939755189,1023.3211205566081,616.9385136650513,429.1713912340156
1461.568762510399,1224.8101099309736,1507.3158676916014,1737.9151231965088,1581.414053150946,964.6865556586349,595.6217015367142,442.1004813816111
1372.21269296741,1166.1352912170205,1222.7184313602859,1697.897976776932,1588.3906464604484,987.2964318130262,658.4277984255589,431.8608232574054
1380.9784501656536,1199.489379485387,1300.3688344928537,1718.7125627289956,1603.9423061118855,1019.512190026095,634.4423422375235,468.69715943259405
1415.0334328754748,1156.7008561257126,1242.4078413521886,1741.8825543672815,1583.265481412005,991.1032986930975,595.6485517681165,424.60492315509885
1422.4031336863509,1165.6460781093965,1211.4919682303853,1758.0801845616656,1583.6884158732842,987.3480275685957,621.0754183200554,536.0706542407161
1396.542782905874,1180.7403338166137,1273.7574328712735,1711.7282477849494,1601.5864422447912,968.6774389470339,611.0396019243965,467.7357058030876
1404.4431643222715,1182.7054113834192,1318.3876745993807,1685.4974481465983,1635.7039945887127,961.9195294564065,574.1343713222776,481.27346330554826
1399.7920671910608,1182.3748276880847,1265.0732238061378,1678.537906479517,1686.6708164771262,1012.841111018039,602.3274309609944,527.6963282559351
1325.7789040679609,1216.3362486192812,1244.8511664641346,1678.5878484993161,1617.1312665889213,982.7100752594552,622.815692620173,511.7098428213325
1283.0172731399944,1302.0225016810405,1371.478452398941,1696.0467972385543,1574.3084052838972,979.3129671217575,662.708277415694,438.7989333342141
