Mean Speckle Flow Index,Mean Speckle Contrast
14899.630941835407,0.05982700770087538
14840.76032665091,0.05996412608302625
14728.356162607019,0.06015656060879894
14735.333600176586,0.06015068485398721
14765.0339810215,0.06005658251866186
14856.797251654585,0.059890180978156606
14957.556121890075,0.05966525542166842
14934.403029966792,0.05974493138090488
14863.287199762992,0.059869640622136094
14752.739403347414,0.060110192142968824
14636.998572017295,0.060354759077791295
14623.813611653986,0.06037337234743492
14513.659385874987,0.060614403734155
14404.772925650059,0.060819813718243625
14330.202926781343,0.06096911527341295
14209.153869462956,0.061196306870344136
14384.88544433605,0.06086044548592683
14350.066996701042,0.060930004337222475
14392.07748227837,0.06083741522319431
14363.783023856564,0.06090635249548396
14299.691925936537,0.061023829756805405
14234.298094820842,0.06116774026779585
14277.034455117433,0.06109367246458455
14500.191432335325,0.060616107277154066
15097.616950984013,0.05942258069444154
15644.125092875947,0.058384688033022374
15855.962934978723,0.05799976626442209
15882.668697349318,0.057957036678835894
15775.169323035354,0.058161077711643416
15567.591890428766,0.05856412004682895
15511.527407945183,0.058712871627909835
15610.931986159803,0.05851546440771076
15561.563298086177,0.05862531897248678
15441.985237507524,0.058866376544495606
15354.455630077227,0.059010399248994184
15415.332463157067,0.05893482972908168
15591.18297625586,0.0585941179773469
15635.443518660968,0.05849745182438432
15755.668355648702,0.05825490322137846
15482.052275459158,0.05869534300433966
15307.26658012483,0.05903385560401848
15482.292865133813,0.05874324800690831
15433.441028515597,0.05883923445844877
15364.007217806238,0.059040296471773
15016.773210608015,0.0597088426008213
14752.601216381045,0.060233049784465795
14784.990672963107,0.06016607308876598
14939.63220669304,0.05986379851132482
14955.075102592053,0.05982160026799526
14898.399335858581,0.059913797769815355
14807.12525298125,0.06005981826282208
14720.766093642602,0.06019943780531219
14404.056060130917,0.06085391198397751
14372.276933852285,0.06095419841872704
14511.624512131848,0.06067087959206032
14544.24339480432,0.06062979121361701
14842.275061711087,0.06006286106102266
15532.961918565281,0.05870004378768797
16083.884835786836,0.05770176553969237
16274.261893054017,0.05736895718503874
16447.838702391626,0.057117260966701014
16342.582253045843,0.05731628035897632
16120.672151979008,0.057700099932466435
15754.15255792046,0.05831886326365594
15472.993707403395,0.05876677696166045
15200.065803624162,0.05927819724574957
14960.53341477149,0.05968612445613993
14725.64423757516,0.06013930507905411
14626.952989940886,0.06036416560276542
14731.01307478409,0.060145924653411495
14804.79693227182,0.05996804505098167
14943.414018679692,0.05968692022617044
14946.90037436191,0.059712152297795085
14909.107342887402,0.059818894791485985
14894.442644667723,0.059857967533618384
14826.147110123558,0.06000215021248351
14599.156271543088,0.06048478005423487
14442.1121622349,0.06081199037021607
14437.599245624455,0.060862563603949676
14456.113498410325,0.060881511360494175
14433.521641790148,0.06091853087798045
14471.382533124945,0.06080144460870481
14484.205152862727,0.06076290805009804
14431.08138792054,0.060868918873805286
14275.84952219984,0.061169617575832655
14191.791828826288,0.06134569700827222
14193.105889602264,0.06135906836515195
14231.005505171534,0.06130085276098608
14533.309722262085,0.06062951865498603
15263.24994023168,0.05917071645141082
15751.562911643678,0.05826433886661558
15902.199016276933,0.057976641222985785
15853.217836890952,0.05807318308777302
15642.886593132547,0.05846020212242868
15343.160270601446,0.05906940957978425
15060.512594100119,0.059568465716939
14963.946072644983,0.05979072828046285
14916.339448078768,0.05987788364812825
14794.540243200301,0.06018617674503497
14674.956066997049,0.06040287378589318
14728.522465679791,0.06028055097358238
14782.438645902665,0.06015667647134644
14972.560639171674,0.05973942227946862
15010.442051777312,0.05971318276825356
14999.50043927484,0.059727708562293966
14874.45908673784,0.05997877483648602
14828.600160979939,0.060129320241096046
14705.75913257833,0.0603576485286948
14469.17429659086,0.06084969274672717
14469.101469583175,0.06082981638774263
14397.715962291804,0.060959641162434956
14263.819779014793,0.06118796610799755
14137.579278795785,0.061496611433390524
14047.059494803294,0.061708358552590034
14002.792083968563,0.06179511905018893
13997.819234870942,0.06182126425188953
13997.1664583821,0.06181400899584793
14004.198886827224,0.06182964098465145
14014.959761856458,0.06183148485430992
14286.75773225493,0.061215131320511006
14982.42017027997,0.0597427641308977
15630.215098311213,0.05850166048992307
15914.275752846153,0.05799202122029962
15891.921041014273,0.05802994221830272
15704.77668028794,0.05838681086596399
15248.718964362435,0.0591845876126334
14983.59370017403,0.05974199508290335
14818.824329906096,0.060033397361439554
14720.25762934791,0.06024935163331461
14535.888598851583,0.06063514892078298
14285.162207595933,0.061163927075908495
14313.908595309016,0.06112453983841407
