,0,1,2,3,4,5,6,7,8,9,10
0,440.5447468661996,1160.7823392913917,1290.4931100602614,1312.7526330520948,1351.0096463730765,1357.9059275416228,1359.0757463398136,1396.5136825629888,1427.7962796660822,1400.45019278932,1403.75514439148
1,426.2001977521399,1157.2157493066763,1256.9405562697764,1328.7622069403853,1321.7504599177055,1358.808111355785,1356.0781170876096,1406.385709562221,1428.676606886137,1400.7482332961695,1387.6895403152787
2,420.5202784069163,1173.4122446855984,1261.088246634237,1334.4655356747385,1318.3643911740644,1346.9643308321947,1373.7506335840642,1371.5835444904012,1441.8984433769317,1449.3522299524975,1407.9134017329366
3,425.4246124420577,1176.0408413905238,1295.9738277663232,1321.8247624312442,1357.095511117142,1393.8313728732298,1359.8012208368189,1387.2831336458376,1444.6585167668982,1445.3514035763244,1412.7566344490551
4,436.20947267906064,1182.0095238218141,1275.1698626516848,1346.2412297725655,1340.0152340221402,1370.8358961505062,1386.8200901793223,1405.9588180278272,1432.6419127471,1459.932619838553,1376.9117809470772
5,433.92170732494014,1154.6995925897306,1283.7091627324903,1347.2824971924113,1348.3353545383159,1376.536066919044,1366.2263639035596,1389.0146846172122,1419.0276632648336,1399.9034416175975,1401.2915649478607
6,441.30412128654245,1185.6017194191454,1267.5680244097002,1341.2801844303874,1334.4830311144224,1417.560085335103,1382.5570294735135,1388.1670842554554,1416.5302508821119,1453.0454616789316,1399.1011013735183
7,422.5141669443439,1198.8022722752614,1287.2786049982417,1335.1694769025326,1355.4604124291986,1421.6460797544169,1341.6867319462697,1378.9693908330244,1422.3381100055897,1411.674294498658,1391.2267597825953
8,436.38422167978723,1174.6383599385008,1294.5291995495365,1338.7430235359968,1345.778396523861,1408.991506822857,1351.9767895698644,1378.1094617304032,1442.2290948424638,1424.1211477150373,1400.0275543138184
9,433.8421628002829,1165.648650155694,1258.8279403229758,1338.5002557299417,1366.7040337852843,1465.1849745837505,1352.1305521646157,1366.9593435513004,1427.8160541537754,1441.624729253423,1396.0122763455001
10,447.2794268660055,1155.232127517213,1294.2910875718762,1334.9005602605387,1331.1868208846122,1405.8453514298412,1377.0921452850541,1384.3579822961087,1426.534075104966,1427.923051492576,1375.6197935113646
11,428.9297966280351,1150.0364543925643,1300.845914778925,1338.3217349054485,1332.8183059169132,1500.5105768978103,1385.8066369064125,1373.0700338262216,1412.3922443369165,1458.6142631548553,1390.6134437090477
12,424.0438232331015,1145.3017597691294,1258.1069649327562,1341.0292601383096,1335.9155222118798,1452.0760964664412,1379.978430217352,1420.3011144543611,1433.836759598166,1444.113430351634,1382.7836457358808
13,436.8556113712231,1145.148747786214,1329.7831671188537,1333.809101384393,1360.8573339522854,1406.3921659678272,1346.3367527378202,1381.5443666603428,1429.0657939365615,1474.5558215189042,1392.7801485242958
14,427.1786884062226,1137.231089241677,1297.5200231248714,1336.2367114108552,1359.4890406498662,1476.6894880595362,1350.0744492435667,1395.887861514482,1432.7884358187557,1415.7462496282087,1366.1795685545621
15,420.14140002496987,1161.8915847342382,1313.3776020996506,1323.6402722563976,1349.5073564033503,1362.2558872529105,1360.4847081111245,1398.7995968213525,1404.7172157039151,1435.1885365748803,1363.6212676214584
