0,1,2,3,4,5,6,7,8
813.0542506890206,636.3771532205175,3517.9790472267455,1531.6190737424793,1794.6426519984939,1009.8514234110811,973.4376329396048,1484.2653300219179,1094.9506798213094
922.7414703195287,648.0701076117707,3520.741968236767,1561.587020306379,1795.2832350163203,1007.9614282813963,1051.7436680497974,1533.991874074441,1104.0186753841385
929.9619659547101,854.8373424590674,3520.054398775318,1493.5366328731216,1721.022138320194,1045.7363538552404,1177.8601330945485,1352.4406630004803,958.2050816367363
1205.9280157770008,729.6603187332946,3522.2919265370133,1430.5778342861574,1723.4940063070592,1070.921526035537,1178.1546713075431,1261.9959948770265,1187.493636515471
1550.9912688852314,702.2433981271181,3450.433537317389,1440.35892738452,1680.1509884753907,1092.1182789316333,1035.5333083868722,1483.7335167841793,1393.1988341059089
1604.8363007525604,665.3911598832387,3528.9873132562234,1413.5717645790116,1726.712926987753,1041.9491086516582,1065.9678472341977,1642.2213204357408,1566.6184524494524
1141.6669350590494,674.9584261041415,3491.6073354416694,1442.9533534386676,1724.2413945727747,1100.5021781237638,1024.5069593614971,1525.2394180721683,1347.5885145846473
1075.6666242861154,596.741535970358,3611.8395589895567,1539.0789794226164,1763.5649211533057,1094.688517272352,1116.0626340357437,1390.0000302019519,1288.1029196811216
1698.9093910657393,660.2372471799831,3553.380990411609,1544.0240709602479,1803.1465163443183,1124.1005491663416,1056.9774841815693,1158.4134344246954,1285.8482559586032
2219.3542234775146,600.279801143727,3541.5437208997214,1567.616569897298,1721.064997611295,1163.2123564940546,995.0462330398261,1195.2807616929467,1508.0821741670736
2149.4206321215293,530.8061885334591,3521.4658502306693,1513.3268702900043,1753.1146409277878,1161.2965325310226,1142.6988142469675,1345.0541213173044,1646.5223160636015
1847.3174838966881,617.903824421622,3551.266053466363,1501.2496936347468,1720.2682600392934,1091.1335940920408,1168.4276347385048,1204.499514452324,1455.4949746078921
1540.062226074905,622.2368355705811,3660.175981704326,1462.3741103280931,1802.319899697362,1158.2904095094066,1019.4492926709833,1358.4866834685906,1295.2420021188427
1289.1748288591316,627.4800632941669,3734.9428470476446,1558.1919973845704,1776.1927535087495,1150.6639256911778,953.847335224817,1595.6681967474494,1168.0172828163297
1015.3613796532744,621.1081357696623,3764.720817108356,1478.6356698737102,1810.7422666177833,1095.180441032212,944.3864187778421,1608.2219942132226,1216.7547625241643
908.9650854616399,534.6699198464406,3716.7313782122446,1553.6275184100193,1800.49871798252,1082.191491960127,903.4119191929458,1710.5003458788756,1276.1680577239413
1162.3165954777494,625.2002945223064,3607.1973426315367,1634.7650464254114,1823.6667392084746,1051.8057579393012,964.6389320801462,1593.9504644828744,1118.333626710378
