0,1,2,3,4,5,6,7,8,9,10,11,12
8830.57765757077,11250.593395540649,11826.809438536786,14649.843435426597,17379.54266797422,20491.75958791962,18541.0156800441,18793.26016255291,16009.754822826339,17202.540314790993,33837.21458740438,16780.968035561204,14274.515940928495
8764.005211241392,10964.266577679018,12535.836986212818,14647.421142310812,17145.53061639237,20555.015089053388,18446.320353448613,18574.12857150174,16529.130724098064,16513.70703180716,33835.05408062933,16912.792224848956,14883.966998306536
9093.668961131985,10785.795516717588,12124.917640815578,14266.984887306142,17184.96717534902,20471.228738482547,18265.38487829711,18164.429961339443,17136.890134784957,15838.636472291124,33676.44234741702,16395.87288118526,15660.077350431608
8655.264996575575,10735.95892616696,11471.45259361853,14473.94222593552,17059.407420732186,20433.949983208768,18109.18320962149,18172.858338564543,16979.157290365973,15795.305885215821,32315.339024755525,15942.190450640961,16115.00896109158
8690.855171969186,10830.828860489693,11690.412488428132,14502.878557594191,16904.83384076496,20101.714590490534,17713.999927663288,17806.384806032896,16838.181038181036,15842.096907883624,31912.011973303554,15915.807297697223,16106.525573192244
8625.893036294332,10700.91743119266,11636.094880179278,14577.23124529076,16872.15466121509,20024.89090334643,17393.675530108434,17451.458145931916,16269.825241599541,15954.500038933711,30880.382520897918,15514.717565807916,16240.318407928822
8481.103229585236,11142.553345026605,11690.107433954714,14403.487307444166,17151.864670207742,19855.711112329802,17002.84764769026,17532.929047322683,15713.228158078862,16160.953616164483,30019.937524759556,15853.174183916599,16167.125427945382
8962.962962962962,11784.010483184336,12076.93856804301,14581.46278414683,17659.572601366177,19447.282965104332,17141.269865466118,17190.877238425623,15429.412077198735,16749.37652158338,29462.99651817097,16778.206865811317,15959.17735732268
8954.168532135636,11946.601517250361,12249.51227453396,14727.021049267192,17916.049008642756,18786.57479184611,17230.537189814007,17258.41639925673,15569.202100730507,17687.194163535416,29300.18985495897,18124.96410321207,15436.083967974191
9317.118931208412,11966.828854407082,11874.975605826545,14866.281843419545,18329.84246491252,18603.304270714343,17958.627372223003,18381.769908256738,15370.882214442196,17882.76745042891,29433.765074302384,18459.58280119199,15132.278303243895
9339.746752279203,11886.290604492111,12030.286474145309,14884.426576160617,18408.91387248623,18641.880645288522,18972.189961984313,19161.332698553906,15335.409390006667,17997.505016665444,29231.852771280817,18166.943891924373,15148.564005509177
8998.261464499297,11887.224484424625,12037.97795562173,14788.370077650545,18386.718515845885,18675.708040303558,19724.435798104398,20004.751095370757,15348.500244973024,17822.81512998173,29535.689342457823,17951.82011059321,14998.587975358028
9241.821551151874,11738.790952000914,12348.279657469793,14940.764240534889,18180.98882268178,18582.12730711975,19502.86751675869,19989.88813436073,15092.019725515542,17807.52351219933,31219.859066316396,17566.38119103962,14870.58508465392
9159.618516996248,11629.827318645039,12407.496016150897,14911.74518911745,18150.433431286347,18920.324582950245,19275.194049858375,19880.79875981486,15145.00915215951,17567.28934960228,33247.386270254785,17044.727280234525,14611.70488327794
9184.510989189968,11521.9318540553,12818.307080161872,14850.077106393164,18024.30622419069,19696.15988866613,19129.758312493825,19141.510209954296,15623.049258528315,17179.28122459486,34591.13226203546,16982.39674114509,14995.769143622536
9150.518007252274,11551.086305103478,12907.206303128363,14614.391143911438,17929.438904922707,20105.52636984496,18880.57553956835,18757.374649170924,16667.82092296447,16810.407191536546,34331.60039411306,16534.162865634575,15308.132163216642
9093.403194836568,11219.11755224368,13176.42098071555,14273.430210404556,17390.4813457907,20564.09090148849,18522.970448089705,18609.659948204524,16985.413539159224,16680.821584108126,34068.439453946696,16227.7406250242,15488.825782723467
9075.241349484944,11359.42720077102,13001.374553845126,14040.173002716283,17175.6367599439,20928.181416489653,18431.8262487138,18385.076960778286,16961.884411116294,16267.425651974329,33180.46125734529,15607.612712366861,15951.53238937323
8743.96934046057,11359.873590734562,13103.944857703931,14005.054024615978,17085.794604235056,20365.80662067585,17833.66163174667,18002.995399331416,17245.148824578773,15940.826640220721,32568.645645734443,15429.6676672207,16074.226725437453
8894.158483940982,11428.703426800344,13160.248971223027,14491.38119536118,17307.251181682557,20188.873492866696,17389.46892860801,17597.66389276364,16479.797694254303,16040.881629534106,32010.674000316572,15326.141945607813,16205.540530494587
9404.715383613397,11435.771017479168,13062.40718538112,14262.77522186797,17248.826656245168,20117.456974013054,17114.568167424964,17306.677516802818,16498.089387282933,15818.305507571717,31695.7834405818,15228.150323598175,16172.18533166822
9243.879568590737,11470.929330093611,12749.045361733664,14212.174649359102,17344.212884886845,19665.809667925234,17003.167781694538,17177.636915501098,16128.758183580594,16098.728148548786,30935.6725146199,15659.624438709008,16256.148231385037
9361.262439739621,11594.234473376979,12686.850380284088,14612.208736075685,18050.4313114806,19113.730196197575,17226.632058005573,17301.84668403669,16271.27630314154,16759.047160523958,30164.362104639287,17072.04737287591,16027.062487156398
9280.355866627802,11727.657781765627,12648.817798089454,14759.472170076773,18157.946125076603,18677.4490156027,17374.436676890193,17716.381550572914,15899.507862742335,17734.419360692096,29591.17354483814,17789.513163472067,15419.293815550673
8999.602367978217,11891.785443968452,12638.355008970073,15143.138900220776,18381.454283097075,18550.728591966254,18537.283950617286,18560.704824275366,15605.132569354588,18053.01884435534,29127.34856205225,17959.51855459004,14943.098671599131
9264.300473866992,11693.997231291449,12571.744115940071,14843.28936509426,18269.141586272046,18490.481402151407,19783.218131060177,19837.62083152856,15402.708583123065,18160.881996515953,28932.604735883426,17590.356387241398,14171.396504729839
9408.398798911026,11862.050983531017,12732.631727233385,14838.098383644905,18172.71045492136,18331.459307898083,19744.97040762146,20278.800379051005,15191.463903258573,17869.084756156546,29125.0910560856,17334.819231172994,13644.820059488538
9420.96842989705,11867.412436281875,12784.402266803902,14692.98386506399,17839.152958105213,18352.697527784712,19299.36735023276,20028.092011612167,14988.967332936061,17560.22846566932,30915.60215052659,17232.681212623687,13225.767860588303
9857.701000601948,11767.962250481516,13152.745383246167,14743.421119981904,18026.09428631936,18763.91033531013,18969.1314309172,19728.265438972703,15417.408677776619,17197.28369043438,33769.39381328895,17396.46819815596,13341.396005167353
9535.523484314075,11678.235425056779,13497.275604443681,14725.620703840696,17716.204846948054,19790.31625414679,18577.26980096971,19236.591783039865,16154.810402736255,17071.264558986877,34328.9163347708,17294.23933463353,14033.75647567485
9382.455309294553,11404.032097690491,13532.237655413575,14654.819390314658,17513.97331093611,20119.864185976847,18416.787788576603,19194.24062889046,17159.669573923446,16937.22562956624,34144.72242688022,17152.421245816222,15134.09961685824
9284.965440958333,11278.03610958415,13703.482431413435,14486.927494885656,17274.618375744885,20485.75385250008,18884.99740240503,18668.247426308903,17224.439095581532,16562.77315904212,33402.154405745765,16272.118044019448,15904.714170541602
9146.869281966401,11330.551683399268,14006.043689912023,14325.67192477824,17190.40097082934,20292.752421187222,18873.293815901656,18619.088120827855,17509.12036616825,16302.608036826927,32956.34514458153,15206.108961019057,16013.297395675312
8910.483172086555,11556.114653743523,14795.300998620865,14243.774540311604,17325.265839970238,20299.819611767434,18100.175275692895,18213.21263440853,16767.723536942623,15905.833294034095,32538.163689620553,14699.023957753288,15653.779887648341
8995.656317779943,11190.351028546804,13381.800487986855,14251.672728833635,17119.111999034787,19937.922615017855,17193.993872692045,18138.871943743794,16539.25757161775,15462.732008428693,32143.03476052886,14442.290880402574,15135.962869396144
9236.774108732805,11070.34888042659,13327.429630398585,14126.523185526934,16921.583652618134,19891.524168273903,16848.148761076307,17674.350650864944,16335.539892765153,15545.913887308217,31657.283275238216,14933.688892291351,15284.542959776381
9218.150580066736,11194.036533753153,12952.281398091605,14089.09412749577,17426.530961307813,19462.935610218414,16987.326224577788,17512.75377257657,16295.49189497021,16170.52568742482,31072.0334239158,16058.918300480515,15419.640340492699
9078.757987468214,11529.949411299282,12768.160157158365,14355.291615063084,17908.32538574983,19084.08389042941,16942.54706410414,17540.46834627084,16288.18077931233,17062.63192301455,30017.039814413027,17344.06976249901,15644.967961158434
9235.94534336635,12003.399052139852,12507.134657734587,14891.091502994661,18200.114122069434,18820.651796261558,17589.40801814769,17699.67877699912,16118.105304977273,18282.55814008845,29507.475135373064,18274.775515244426,15965.921690274195
9594.79724345479,11939.629783344246,13135.329590644438,15416.983455309342,18346.225995675104,18488.25279617078,18595.23580790537,18580.969127952318,15769.174518254542,18945.142985081977,29292.13622224375,18031.600407747206,15807.663899898962
9631.969828299745,11967.313426663964,12673.892692060143,15473.10092780859,18260.864934830875,18461.865087114053,19631.541571069585,19356.316424133714,15528.193819578568,18651.95009381706,29025.50000413685,17253.988070467465,15513.351449834912
9587.908716797607,11918.463574662657,13388.118389629983,15334.137277792746,18239.396450067023,18265.07396726045,19513.218630790507,20067.561378475926,15427.978037628403,18202.791165076298,29626.38658559058,16721.402549285973,15014.973356592567
9677.177046134473,11916.651406786548,13160.752977331184,15095.361248441255,17781.22363621242,18438.500039722174,19146.2345735795,19830.15528129402,15404.233131944144,17673.95842169313,32016.216583186608,17012.54523984636,14291.286319023695
