0,1,2,3,4,5,6,7,8,9,10,11,12
3779.8432726215783,3384.415686729705,3320.082993999117,4128.98137142706,4200.790455573141,4251.769598547437,6708.325491616664,1398.622603099553,1253.6141769003577,695.1693222335138,647.9290214040504,285.4644281391714,781.129707500947
3916.0346408233,3432.428530729552,3337.057545720723,4066.9866867265027,4106.072709997153,4503.863361820409,6851.597484723183,1608.2171755304805,1127.4997324521053,749.8521643648769,651.0679570202781,333.1820612563159,872.5242585974396
4225.096885796078,3232.640038616119,3511.960507935635,4099.167407526828,4133.920008981077,4680.355277887523,6365.076994111133,1678.2615270081196,1142.6581412732598,724.1389297748215,613.0408474695819,362.77450293200195,915.7625943561229
4298.804787626587,3136.6026045433327,3186.080841923189,4000.960922504268,4010.9560214303533,4782.899190994548,6715.102257750867,1362.2811784083829,1136.0702306848823,660.9586980510638,599.5197358205277,306.8482733527194,862.1973373177949
4368.581897229617,3328.418799485931,3245.5491919242518,4039.4987304285783,3892.0207814028313,4882.616739198046,6570.177152042797,1177.9989739944929,1186.6705783092966,616.0509690575178,817.6604319970977,301.42050969334804,807.8168382239454
4272.878968002827,3586.992408344444,3255.928958211902,4133.289499441672,3743.6978505416546,4719.320097951988,6381.515416164969,1433.0909837448714,1149.487519947283,703.4227916022492,612.859156419057,389.03745883582815,669.2429302367675
4241.2397256544755,3808.0668948950856,3015.992819358679,3965.587781981226,3747.615542686896,4737.213587662536,6182.491034801904,1388.4166268856218,1233.8014981166823,660.7831813861825,713.9516316711524,339.2519480892401,1088.7666328667829
4177.447034522635,3844.5709129611023,3262.1283027988284,3790.6178717623393,3734.9104325325707,4604.466881085797,6040.154670958788,1082.8666540333377,1219.8051613377265,828.4160663795496,619.1274646386262,307.5530190236508,1340.7938657589755
4138.853482209599,3680.3438942010275,2885.1918588908065,3719.7659756861885,3562.9236870360533,4519.422251585868,6000.562520446122,1017.5095518653495,1198.094306516266,972.5313757991948,651.8076078533218,278.5805518053789,861.5159100634999
4041.114009316293,3571.932516672762,2924.4753316348756,3678.8865319563542,3786.7364712072927,4373.328952997698,5893.339540725709,962.6421405110887,1095.927381049523,673.3147381210558,626.8537606651598,304.28209504182183,943.3584861983111
3880.4342665573963,3647.1722241452244,3139.737006424697,3653.2543567714,4109.613524934056,4333.456028740039,6124.280188211979,1065.5621105906284,1091.7366771028749,694.978616676565,615.8686085757629,332.72812559070405,1107.748230161492
3718.9190848738317,3708.646803143523,3558.0660179270712,3496.276886057278,4184.495679625207,4228.4296091938795,6591.493793004944,978.3052944736859,1088.9508385520985,636.8028501789994,596.1242848056307,298.6279138013667,819.0079103247016
3705.691036839261,3544.1445208530677,3214.520296064231,3708.9436076861934,4195.180188559119,4134.779554308522,6368.7841812667075,1085.6250108627412,1194.4389676019,709.1801409481933,694.2437294901114,296.4449510441773,667.3815017459848
3716.4222493972525,3388.3349379441347,3365.3706880727173,3866.818997743016,4326.228762088697,4093.474817436803,6523.84600363511,1019.0588072676444,1133.4084444557632,681.0907641439148,612.6353792105185,338.65271049308234,628.710841165827
3813.63866840321,3373.7431873281153,3248.285380524728,4096.00964391002,4080.9926514689614,4257.775898368886,6526.4787383232415,1043.9808854718888,1125.8853941677792,804.2694967031312,779.1842748450586,307.24683721069533,723.5044747998115
3921.008145613357,3305.5580143373827,3392.9333533919335,4006.8730144203987,4244.542032929982,4697.699798892691,6637.054471358675,965.0445953597304,1114.5496543671984,825.720904677719,630.7214137915297,388.4058590606784,747.1585685440934
